,purchase_price,sale_price,purchase_q_since_1970,sale_q_since_1970
253,850,968,50,58
254,510,620,36,47
255,555,690,30,38
256,510,1150,9,61
257,382,815,11,39
258,365,575,7,26
259,440,625,22,31
260,492,650,26,36
261,298,330,38,58
262,460,494,24,27
263,837,880,25,27
264,400,669,13,39
265,450,870,14,36
266,720,1210,17,43
267,265,350,12,34
268,254,280,38,55
269,399,430,11,19
270,716,768,29,32
271,535,710,20,28
272,490,610,33,63
273,430,590,6,23
274,230,319,30,39
275,250,371,10,13
276,371,400,13,19
277,329,395,26,34
278,631,1000,23,33
279,735,840,30,40
280,323,630,8,31
281,505,1325,14,52
282,920,1480,25,64
283,405,435,6,10
284,1830,2050,36,50
285,1300,1800,14,31
286,890,1100,32,51
287,320,330,6,10
288,660,689,39,53
289,380,470,15,32
290,605,745,37,54
291,444,590,34,58
292,595,750,34,64
293,542,650,9,23
294,330,340,17,21
295,259,370,4,17
296,250,739,5,44
297,345,420,13,21
298,375,485,1,15
299,419,610,35,43
300,325,630,3,28
301,850,1025,34,55
302,240,460,14,47
303,480,570,24,30
304,505,869,21,38
305,869,970,38,55
306,1170,1680,28,46
307,665,750,32,47
308,279,600,7,36
309,460,586,13,23
310,240,450,20,54
311,365,500,6,19
312,1250,1290,37,51
313,385,900,6,39
314,455,545,1,12
315,270,330,25,33
316,360,377,5,20
317,377,870,20,38
318,950,1025,60,63
319,390,565,32,36
320,205,275,15,31
321,245,380,25,64
322,410,435,40,45
323,1135,1510,37,46
324,460,515,17,24
325,525,590,20,25
326,715,1045,22,35
327,710,770,50,62
328,220,330,4,38
329,645,860,28,36
330,1180,1260,54,61
331,295,400,25,34
332,230,300,13,29
333,390,485,10,22
334,380,539,30,64
335,500,540,31,34
336,443,470,25,26
337,430,640,21,31
338,640,835,31,47
339,230,415,9,24
340,415,575,24,37
341,290,340,16,22
342,307,350,9,13
343,269,280,38,54
344,739,1010,26,38
345,620,710,4,11
346,740,845,36,54
347,455,610,30,61
348,625,925,26,34
349,1335,1700,34,43
350,536,780,32,39
351,380,400,26,28
352,400,639,28,61
353,400,430,14,17
354,492,660,33,53
355,234,248,13,28
356,505,800,26,37
357,420,730,22,55
358,200,350,21,43
359,427,478,13,22
360,750,1000,23,28
361,330,360,21,25
362,519,839,36,59
363,769,1300,43,58
364,185,399,6,54
365,415,725,18,38
366,400,520,17,30
367,225,430,2,59
368,504,520,10,14
369,1109,1225,34,52
370,469,599,34,63
371,395,580,26,38
372,422,690,28,51
373,165,255,11,39
374,395,860,6,35
375,347,350,12,13
376,635,950,23,38
377,365,470,13,17
378,559,710,32,62
379,325,525,23,43
380,399,399,58,59
381,229,274,11,21
382,246,450,7,28
383,418,640,17,33
384,1728,2400,33,61
385,710,725,36,57
386,770,942,30,37
387,325,440,27,33
388,630,650,40,46
389,179,309,11,40
390,380,660,18,37
391,255,435,4,27
392,309,315,6,7
393,315,698,7,37
394,698,710,37,46
395,272,495,6,30
396,340,615,34,39
397,340,549,10,29
398,300,565,10,31
399,275,640,3,30
400,299,695,5,50
401,570,590,37,44
402,300,400,13,22
403,265,350,35,54
404,1130,1199,36,49
405,685,900,28,56
406,775,780,21,24
407,869,1070,33,37
408,150,627,8,56
409,480,750,20,36
410,536,750,25,50
411,407,495,2,13
412,439,523,11,20
413,550,1575,6,46
414,410,520,19,54
415,170,320,1,26
416,530,695,28,39
417,495,630,23,32
418,520,558,9,13
419,362,750,20,47
420,390,750,24,49
421,415,635,22,39
422,294,795,5,53
423,580,770,20,33
424,300,505,12,26
425,445,620,24,33
426,375,629,27,64
427,692,870,32,45
428,933,1600,27,42
429,510,680,18,27
430,215,525,9,54
431,429,467,34,59
432,436,730,34,43
433,350,490,29,54
434,320,420,26,46
435,635,679,37,44
436,565,720,36,54
437,600,765,11,22
438,575,750,19,30
439,479,755,29,30
440,755,860,30,47
441,319,675,9,38
442,650,1800,9,61
443,670,975,18,30
444,524,543,34,36
445,660,1060,25,51
446,290,317,4,7
447,425,530,5,11
448,530,620,17,25
449,525,614,38,45
450,319,319,25,26
451,319,345,26,27
452,340,590,22,44
453,449,530,31,37
454,317,450,4,18
455,450,640,18,32
456,579,859,21,43
457,488,528,13,15
458,355,366,2,6
459,366,487,6,20
460,487,746,20,33
461,409,588,35,43
462,229,710,5,39
463,427,660,14,37
464,489,630,36,37
465,329,329,28,29
466,595,1200,27,46
467,585,910,7,27
468,555,765,6,18
469,361,550,18,33
470,2220,2630,60,62
471,295,322,19,20
472,585,680,21,27
473,870,935,38,46
474,305,319,21,23
475,285,339,2,10
476,400,410,5,7
477,410,620,7,22
478,440,500,10,14
479,999,1150,37,50
480,285,645,7,39
481,340,360,13,18
482,360,425,18,23
483,375,470,12,28
484,1290,1479,63,66
485,350,480,31,63
486,367,529,7,22
487,460,1308,2,54
488,500,575,3,7
489,515,1200,7,64
490,439,449,6,9
491,640,937,18,42
492,459,975,9,45
493,850,1335,30,62
494,720,990,26,33
495,650,760,34,63
496,320,720,10,57
497,270,685,7,54
498,470,615,23,33
499,425,645,22,39
500,583,780,29,50
501,1155,1160,35,64
502,275,335,5,11
503,545,959,5,33
504,501,600,35,64
505,525,860,25,61
506,540,650,17,26
507,310,315,8,10
508,315,510,10,26
509,1300,1650,31,35
510,385,690,18,54
511,601,870,25,38
512,454,595,35,65
513,430,875,7,49
514,449,600,35,52
515,435,559,26,51
516,459,585,33,53
517,615,1005,22,35
518,646,1015,26,45
519,575,714,24,29
520,400,825,5,30
521,219,349,30,55
522,1520,1655,39,43
523,270,570,11,35
524,345,810,12,50
525,270,469,7,29
526,440,550,11,19
527,342,627,3,27
528,330,470,14,30
529,219,255,21,32
530,550,920,24,37
531,439,485,26,31
532,745,798,38,57
533,385,522,35,51
534,160,300,13,36
535,765,850,35,60
536,275,381,9,12
537,415,465,34,39
538,519,780,21,37
539,279,301,9,11
540,596,850,28,38
541,160,459,7,34
542,329,410,6,12
543,578,599,47,49
544,310,479,28,35
545,1275,1320,55,61
546,180,380,13,57
547,358,390,29,31
548,390,535,31,32
549,339,840,6,42
550,256,339,30,32
551,450,885,16,64
552,399,719,27,46
553,635,730,29,33
554,380,460,30,53
555,355,470,5,19
556,325,503,25,63
557,410,960,6,54
558,299,630,9,55
559,339,340,6,9
560,315,640,9,38
561,530,579,29,32
562,337,840,4,38
563,345,920,2,53
564,780,780,34,66
565,500,690,18,37
566,245,425,24,62
567,340,590,17,33
568,520,520,60,61
569,240,429,13,31
570,285,380,29,39
571,380,400,19,23
572,881,949,34,38
573,265,515,9,31
574,253,530,12,27
575,650,1230,26,65
576,685,830,35,36
577,390,670,7,26
578,303,360,13,27
579,285,479,27,56
580,253,415,8,24
581,1040,1100,35,42
582,250,365,13,30
583,429,745,16,31
584,220,560,9,54
585,459,749,34,55
586,350,570,18,37
587,570,650,37,47
588,345,750,2,45
589,382,520,3,14
590,760,1210,45,52
591,475,508,15,19
592,380,630,18,35
593,305,430,27,57
594,300,565,5,24
595,565,739,24,43
596,590,1020,24,53
597,359,730,20,49
598,870,950,33,46
599,540,580,24,27
600,730,892,31,34
601,685,950,21,40
602,469,528,28,33
603,285,370,13,25
604,249,349,16,36
605,667,843,30,35
606,830,870,43,52
607,454,490,6,14
608,540,600,36,53
609,369,810,13,35
610,350,380,62,63
611,240,280,35,54
612,305,505,5,27
613,763,810,35,36
614,185,215,6,12
615,726,730,29,34
616,307,500,5,28
617,510,545,14,19
618,713,885,32,58
619,335,476,5,19
620,476,765,19,40
621,765,815,40,54
622,1030,1190,33,56
623,401,810,14,43
624,390,789,17,54
625,355,875,5,33
626,439,541,6,33
627,490,545,31,33
628,290,620,5,32
629,595,675,34,50
630,440,739,17,35
631,550,625,35,53
632,350,359,2,6
633,359,520,6,19
634,514,540,18,19
635,275,445,10,28
636,264,269,4,9
637,410,625,29,62
638,350,540,15,32
639,715,1150,30,39
640,500,760,18,33
641,260,380,13,31
642,450,500,33,39
643,326,520,13,57
644,405,645,10,37
645,820,1570,19,39
646,1570,1840,39,55
647,415,528,24,31
648,550,710,32,38
649,710,850,38,49
650,365,365,64,65
651,379,625,17,55
652,625,680,24,29
653,430,725,28,43
654,274,380,8,25
655,425,549,12,23
656,650,770,1,13
657,270,359,34,58
658,230,284,12,14
659,313,564,10,28
660,582,805,28,53
661,305,761,14,47
662,356,569,27,57
663,300,430,14,26
664,430,700,26,54
665,277,650,6,43
666,644,695,27,31
667,300,619,10,58
668,274,400,5,19
669,765,859,61,64
670,796,990,34,41
671,699,950,30,51
672,540,545,2,4
673,579,820,30,54
674,380,640,10,26
675,279,585,3,33
676,400,520,29,33
677,800,1100,31,43
678,630,700,43,54
679,455,720,25,43
680,624,705,29,31
681,440,453,60,63
682,365,410,2,7
683,410,600,7,23
684,430,597,14,26
685,301,450,10,22
686,410,670,22,33
687,279,460,5,28
688,250,640,10,53
689,335,335,2,5
690,240,710,2,39
691,245,280,2,9
692,280,460,9,28
693,930,1130,34,59
694,375,520,13,27
695,549,620,11,23
696,540,590,33,39
697,435,645,10,26
698,250,539,5,33
699,455,780,26,63
700,949,1400,27,37
701,660,695,2,5
702,360,465,13,26
703,975,1150,26,53
704,415,740,12,31
705,1150,1150,57,59
706,1349,1375,35,43
707,360,375,2,5
708,299,670,5,42
709,510,610,19,26
710,460,505,27,30
711,305,425,10,30
712,624,993,23,38
713,311,730,6,35
714,995,1140,33,62
715,329,515,13,31
716,750,1900,15,54
717,354,378,35,37
718,135,240,12,49
719,630,750,32,34
720,1510,1570,42,52
721,565,675,29,37
722,539,639,34,54
723,489,668,26,38
724,250,270,13,14
725,320,435,3,15
726,413,730,15,35
727,270,590,3,34
728,286,286,29,32
729,315,525,21,38
730,360,380,5,10
731,435,782,22,62
732,202,285,3,11
733,285,510,11,32
734,740,915,30,46
735,380,540,25,62
736,450,780,22,57
737,380,820,9,43
738,260,520,10,43
739,540,820,26,45
740,407,465,25,30
741,610,900,27,35
742,390,468,27,50
743,410,460,20,27
744,510,629,32,57
745,300,360,14,25
746,319,335,23,28
747,337,564,6,23
748,345,360,15,18
749,463,750,24,39
750,415,555,24,31
751,740,1173,30,62
752,960,1100,36,53
753,500,679,30,54
754,526,620,32,39
755,530,622,45,58
756,435,435,31,32
757,323,480,4,19
758,459,565,34,43
759,429,582,17,28
760,710,830,31,47
761,262,365,8,22
762,245,430,13,47
763,445,570,31,46
764,541,905,15,33
765,385,480,22,31
766,275,512,8,31
767,490,800,22,44
768,365,480,32,57
769,250,540,6,32
770,216,345,12,32
771,405,410,37,39
772,297,600,8,52
773,530,558,30,32
774,700,1195,26,61
775,385,665,14,35
776,670,759,34,58
777,449,509,34,62
778,535,640,18,26
779,269,669,13,54
780,485,698,27,32
781,698,705,32,44
782,404,570,20,32
783,400,625,3,23
784,625,890,23,31
785,890,1120,31,47
786,279,530,11,35
787,535,660,2,14
788,479,580,35,54
789,360,450,21,27
790,365,695,10,39
791,245,347,2,17
792,465,500,18,22
793,500,520,22,27
794,342,640,6,29
795,275,415,8,25
796,380,625,17,37
797,292,425,6,24
798,388,850,8,47
799,395,569,22,33
800,545,770,13,28
801,770,1070,28,46
802,365,430,7,13
803,369,450,9,15
804,460,733,23,38
805,450,507,30,35
806,288,725,6,31
807,600,840,32,64
808,330,539,23,36
809,296,525,13,35
810,746,800,36,58
811,715,782,34,36
812,732,732,28,29
813,515,569,30,52
814,330,419,14,30
815,450,630,25,47
816,625,705,27,32
817,453,635,23,34
818,320,450,20,29
819,1380,2105,34,46
820,395,395,6,10
821,349,544,8,29
822,513,630,23,32
823,380,645,19,54
824,330,550,27,54
825,500,900,26,39
826,349,359,4,5
827,490,823,21,55
828,375,599,18,51
829,330,455,27,31
830,258,380,8,26
831,420,522,14,21
832,480,540,7,13
833,202,320,3,23
834,465,629,26,37
835,239,275,3,9
836,240,283,17,27
837,283,375,27,34
838,320,510,29,51
839,129,150,27,48
840,815,830,18,22
841,850,920,38,54
842,289,300,10,25
843,490,587,26,31
844,400,400,2,5
845,343,360,3,9
846,213,279,4,10
847,365,670,12,45
848,519,539,43,49
849,390,510,25,31
850,250,380,27,52
851,560,645,29,37
852,380,500,19,29
853,367,420,7,18
854,379,500,15,27
855,255,455,13,39
856,375,475,14,23
857,600,685,15,22
858,799,850,42,43
859,340,580,6,27
860,580,695,27,31
861,200,549,10,34
862,337,675,5,30
863,365,725,12,37
864,600,740,7,15
865,530,740,27,44
866,470,540,33,45
867,378,420,5,12
868,245,283,8,11
869,325,605,5,27
870,320,450,9,18
871,430,589,29,44
872,460,675,22,34
873,595,695,31,44
874,633,870,31,38
875,335,475,23,36
876,300,330,26,32
877,330,445,11,25
878,229,290,32,37
879,270,348,25,29
880,435,600,29,62
881,360,650,12,35
882,274,385,28,53
883,371,699,4,30
884,699,870,30,47
885,559,900,26,54
886,230,420,3,25
887,555,1320,17,62
888,520,539,19,21
889,307,510,12,29
890,300,580,13,33
891,450,641,29,34
892,625,839,30,54
893,385,510,26,37
894,600,650,31,37
895,360,746,13,39
896,746,861,39,53
897,370,465,21,29
898,1050,1400,29,46
899,410,465,26,31
900,155,290,34,66
901,228,410,8,32
902,565,635,15,18
903,485,800,13,36
904,320,350,21,26
905,470,699,29,64
906,575,1385,5,52
907,379,560,25,39
908,168,279,16,31
909,275,505,9,31
910,290,460,9,25
911,261,344,14,31
912,697,900,53,62
913,560,660,34,61
914,325,620,6,30
915,420,689,19,40
916,385,585,27,63
917,560,990,17,35
918,990,1320,35,62
919,729,880,31,47
920,960,1105,37,54
921,328,378,37,47
922,302,450,11,25
923,257,541,6,33
924,420,869,8,35
925,390,586,17,31
926,450,710,13,54
927,520,707,27,58
928,355,699,23,62
929,250,396,3,18
930,552,805,21,35
931,430,510,18,28
932,205,260,16,25
933,410,520,27,37
934,370,439,3,10
935,330,340,5,6
936,3650,4233,60,63
937,630,740,33,36
938,1420,1485,35,44
939,479,750,14,34
940,789,990,36,47
941,314,380,14,19
942,311,315,20,24
943,377,560,13,29
944,155,180,12,21
945,660,700,27,59
946,285,409,1,18
947,165,185,5,11
948,256,309,34,59
949,1150,1350,33,37
950,385,470,17,24
951,484,680,29,53
952,415,539,33,62
953,508,789,28,54
954,474,717,28,30
955,465,905,19,57
956,300,385,5,14
957,385,410,14,17
958,225,273,5,18
959,326,415,14,30
960,465,480,14,19
961,455,586,25,56
962,410,440,12,22
963,440,620,22,35
964,525,880,26,59
965,385,810,12,39
966,377,500,9,21
967,532,940,21,33
968,380,570,29,38
969,750,928,30,43
970,375,450,13,19
971,780,1030,32,52
972,425,570,21,25
973,185,319,22,61
974,260,400,2,25
975,459,565,35,54
976,279,368,14,32
977,645,870,31,34
978,365,475,21,33
979,470,689,14,26
980,501,501,27,29
981,265,360,5,18
982,170,475,1,34
983,360,560,14,50
984,345,750,6,33
985,305,429,25,34
986,955,976,59,60
987,475,610,27,33
988,745,810,36,59
989,410,450,13,18
990,450,575,18,27
991,250,280,35,37
992,300,345,20,23
993,385,461,31,33
994,256,309,9,14
995,400,509,32,36
996,530,629,11,17
997,420,630,9,23
998,275,403,14,30
999,570,570,57,59
1000,680,845,32,46
1001,255,379,25,34
1002,645,801,29,43
1003,349,600,5,27
1004,390,920,10,36
1005,374,475,15,22
1006,475,600,22,30
1007,390,480,22,29
1008,600,685,33,54
1009,217,350,21,63
1010,602,890,26,54
1011,679,935,30,55
1012,500,663,26,34
1013,259,345,26,35
1014,350,380,9,10
1015,340,380,21,25
1016,98,160,3,11
1017,420,473,23,29
1018,262,550,13,35
1019,390,530,25,35
1020,450,475,5,6
1021,230,230,11,15
1022,720,735,10,13
1023,810,920,32,45
1024,250,260,37,38
1025,306,455,20,31
1026,419,640,17,59
1027,373,560,26,53
1028,555,630,24,30
1029,200,290,2,14
1030,280,845,9,54
1031,1120,1420,30,45
1032,1250,1750,23,31
1033,1694,2325,35,58
1034,470,535,22,29
1035,400,930,2,36
1036,461,550,33,55
1037,810,1017,29,39
1038,210,270,13,32
1039,640,809,29,46
1040,540,650,11,17
1041,335,519,28,36
1042,455,465,13,18
1043,285,309,14,19
1044,186,320,36,39
1045,440,560,33,36
1046,430,710,13,27
1047,485,800,44,53
1048,480,480,20,21
1049,635,725,31,34
1050,374,630,13,31
1051,349,515,43,54
1052,274,339,36,54
1053,850,1965,12,54
1054,365,405,12,17
1055,520,830,26,39
1056,300,570,25,51
1057,280,334,22,26
1058,313,385,26,27
1059,385,390,27,28
1060,320,675,11,57
1061,345,515,10,29
1062,515,729,29,46
1063,440,549,28,31
1064,400,580,24,39
1065,230,330,1,19
1066,269,585,13,62
1067,365,585,12,30
1068,585,740,30,44
1069,479,660,29,58
1070,320,440,27,29
1071,650,700,36,65
1072,249,270,17,26
1073,210,295,8,23
1074,339,339,41,43
1075,400,494,9,25
1076,810,1300,18,51
1077,400,489,14,26
1078,200,290,9,31
1079,389,729,15,36
1080,220,578,12,59
1081,285,289,13,15
1082,289,520,15,35
1083,225,235,5,8
1084,399,600,27,53
1085,487,487,16,17
1086,380,385,1,7
1087,530,630,31,39
1088,258,269,3,7
1089,590,590,28,29
1090,635,635,29,30
1091,455,555,30,31
1092,465,572,30,32
1093,590,690,29,31
1094,575,695,30,31
1095,580,580,29,30
1096,595,595,28,30
1097,410,535,33,55
1098,327,385,1,9
1099,385,519,9,23
1100,630,800,23,52
1101,325,325,34,35
1102,405,978,6,60
1103,430,530,35,58
1104,300,300,20,25
1105,290,562,13,33
1106,260,635,7,23
1107,170,300,18,54
1108,345,647,13,37
1109,278,510,13,32
1110,400,430,14,18
1111,890,900,36,47
1112,287,610,4,40
1113,610,860,29,39
1114,885,1400,23,34
1115,597,680,31,62
1116,695,919,27,51
1117,335,495,15,30
1118,810,950,35,49
1119,760,875,33,65
1120,320,490,10,26
1121,325,800,5,34
1122,496,630,26,34
1123,269,300,13,25
1124,445,445,27,28
1125,1360,1540,15,27
1126,381,640,20,53
1127,243,260,2,5
1128,730,800,49,54
1129,1052,1400,26,49
1130,530,750,27,34
1131,469,615,29,36
1132,250,432,10,58
1133,430,669,9,26
1134,845,850,34,47
1135,620,990,15,39
1136,298,460,13,33
1137,255,330,14,29
1138,370,699,13,47
1139,690,835,5,18
1140,385,465,10,18
1141,430,1000,7,53
1142,410,465,33,44
1143,275,375,9,25
1144,188,202,4,28
1145,380,590,22,37
1146,740,895,33,43
1147,175,240,28,38
1148,325,540,7,29
1149,315,483,12,27
1150,360,365,2,7
1151,638,2200,2,50
1152,800,920,36,47
1153,564,630,62,65
1154,604,758,30,38
1155,559,719,31,53
1156,367,850,3,36
1157,255,440,5,32
1158,247,690,13,43
1159,490,679,31,61
1160,290,480,5,25
1161,240,280,9,14
1162,415,700,18,36
1163,505,650,29,59
1164,1339,1409,35,51
1165,380,460,3,11
1166,931,1250,25,28
1167,605,620,37,43
1168,620,675,22,24
1169,945,3325,14,44
1170,875,1820,23,32
1171,580,885,27,34
1172,397,610,1,23
1173,515,655,31,61
1174,410,539,17,26
1175,377,796,1,27
1176,390,392,21,23
1177,319,530,6,28
1178,530,679,28,35
1179,285,355,5,11
1180,325,385,16,22
1181,360,410,21,30
1182,430,610,25,33
1183,237,255,6,9
1184,255,375,9,22
1185,470,620,33,54
1186,375,840,6,45
1187,340,340,10,11
1188,590,915,25,52
1189,379,559,5,21
1190,240,339,22,55
1191,538,880,25,38
1192,465,785,31,65
1193,480,635,18,29
1194,272,424,6,25
1195,335,423,13,24
1196,619,765,55,65
1197,322,515,7,26
1198,260,285,12,22
1199,320,550,13,33
1200,369,375,32,33
1201,353,869,8,53
1202,585,655,29,39
1203,485,680,19,32
1204,999,1220,46,63
1205,376,500,6,22
1206,345,724,6,33
1207,440,599,26,34
1208,349,765,7,43
1209,209,240,25,49
1210,420,539,26,34
1211,324,447,21,35
1212,475,630,27,34
1213,800,820,30,43
1214,280,455,27,45
1215,525,580,19,23
1216,675,925,24,38
1217,402,465,11,14
1218,380,570,3,23
1219,252,299,3,22
1220,380,520,25,32
1221,520,610,32,54
1222,345,418,5,13
1223,305,532,6,29
1224,403,640,25,43
1225,500,520,58,62
1226,420,483,17,21
1227,625,680,58,63
1228,418,860,10,50
1229,394,477,14,26
1230,395,949,12,54
1231,367,569,31,53
1232,380,602,6,24
1233,425,575,13,25
1234,3600,3800,43,54
1235,900,1350,29,51
1236,541,705,27,35
1237,740,1860,7,43
1238,302,319,9,10
1239,310,329,28,32
1240,1050,1265,34,46
1241,420,420,21,22
1242,425,585,2,19
1243,300,595,17,55
1244,263,385,14,37
1245,424,595,5,21
1246,319,469,14,29
1247,445,545,25,32
1248,510,575,16,21
1249,720,770,24,27
1250,790,910,34,54
1251,320,410,17,28
1252,285,525,8,27
1253,590,765,25,45
1254,429,600,1,18
1255,349,349,9,10
1256,380,695,6,27
1257,395,680,25,39
1258,680,740,39,51
1259,420,499,34,54
1260,510,510,9,10
1261,320,380,17,26
1262,380,550,26,39
1263,406,485,5,14
1264,295,450,26,40
1265,335,490,29,54
1266,409,617,17,31
1267,390,880,7,53
1268,225,335,33,35
1269,375,555,5,23
1270,370,480,9,19
1271,330,520,7,23
1272,345,619,14,57
1273,436,789,10,39
1274,344,540,5,23
1275,310,515,12,29
1276,565,649,34,57
1277,970,1000,56,59
1278,478,680,27,40
1279,160,210,13,25
1280,290,545,13,54
1281,485,630,17,33
1282,345,820,5,43
1283,520,626,6,12
1284,740,810,49,54
1285,350,360,38,48
1286,428,495,6,13
1287,260,470,9,29
1288,470,630,29,35
1289,240,314,6,14
1290,314,315,14,15
1291,420,500,14,56
1292,390,650,23,54
1293,740,880,62,66
1294,659,750,32,39
1295,622,650,34,60
1296,339,670,2,28
1297,459,940,9,56
1298,670,845,19,31
1299,396,856,9,38
1300,369,378,24,26
1301,240,465,23,37
1302,405,523,29,49
1303,339,395,17,26
1304,354,430,4,13
1305,430,870,13,55
1306,275,650,11,54
1307,810,1245,19,31
1308,160,160,24,25
1309,496,650,1,16
1310,650,690,16,19
1311,265,519,9,36
1312,450,535,33,39
1313,225,467,5,31
1314,550,659,35,54
1315,545,1200,27,49
1316,395,425,7,14
1317,630,880,31,48
1318,475,1329,10,58
1319,310,480,25,43
1320,388,456,7,14
1321,260,469,8,62
1322,279,520,9,31
1323,380,470,31,34
1324,360,580,10,26
1325,275,330,14,23
1326,379,742,13,39
1327,315,375,4,9
1328,480,659,29,35
1329,820,1240,18,32
1330,545,860,26,54
1331,910,935,33,39
1332,323,750,5,33
1333,420,527,10,16
1334,527,1040,16,39
1335,485,850,11,57
1336,459,649,33,57
1337,265,601,4,34
1338,320,705,7,35
1339,210,360,14,29
